Family Name;Given Name;Conceptualization;Resources;Data curation;Software;Formal Analysis;Supervision;Funding Acquisition;Validation;Investigation;Visualization;Methodology;Writing - Original Draft;Writing - Review & Editing;Project Administration
Vornhagen;"Jan B.	";X;;X;X;;;;;;;;X;X;X
Goswami;Lahari;X;;;;;;;;;;;X;;
McNamara;Amelia ;X;;;;;;;;;;;X;;
Paneva;Viktorija;X;;;;;;;;;;;X;;
Weichselgartner;Erich;X;;;;;;;;;;;X;;
